,non-zero,num-clusters,max,mean,std
0,32,1,10.221370697021484,3.96448677778244,2.6981776353152758
1,160,1,6.545248985290527,3.318507671356201,1.2104427148604107
2,20,1,10.808661460876465,7.981959247589112,2.3168637052922345
3,28,1,12.80746841430664,5.139460189001901,3.650895002154216
4,1688,2,177.27896118164062,18.333753444854683,26.876751764147368
5,40,2,8.706802368164062,3.1761228799819947,2.1232903525198537
6,160,4,15.262406349182129,3.500573235750198,2.5377985955017683
7,28,2,7.6827263832092285,4.589430570602417,1.7991114171044278
8,868,2,72.34162139892578,9.010349194575015,10.683310609575312
9,20,1,8.857678413391113,5.799264526367187,2.915950246343491
10,20,1,7.7057976722717285,4.5085944652557375,2.0811406790687297
11,84,1,8.746864318847656,3.383700586500622,1.8798207637219568
12,240,1,85.6119155883789,12.358238277832667,16.913465903949326
13,56,2,11.708861351013184,4.553165878568377,2.8596625377305323
14,32,1,8.881335258483887,5.126826733350754,2.492425965327419
15,164,1,85.3511962890625,9.904734879005247,16.199733713280047
16,20,1,5.359438896179199,3.237001371383667,1.6866182507436127
17,296,1,29.51938247680664,6.5807845076999145,6.2292351652402305
18,60,1,5.870323657989502,2.8206186374028523,1.234147637599158
19,24,1,3.469008445739746,2.860250016053518,0.5296858862535863
20,24,1,4.423517227172852,3.2105749050776162,0.8882498077816727
21,16,1,5.6547112464904785,3.7442661821842194,1.478996977270531
22,316,1,128.84539794921875,12.860247605963599,19.80258824923634
23,44,1,4.172961711883545,2.837963039224798,0.890432081925467
24,184,1,49.65086364746094,11.030017956443455,10.074602479903168
25,48,2,6.697890281677246,3.0917819937070212,1.3150350282072554
26,648,5,22.573596954345703,4.789522073887013,3.5010618994950797
27,48,2,4.82745361328125,2.685416946808497,1.1087839381840316
28,44,1,6.454190731048584,3.1261758587577124,1.2798402948635932
29,36,1,7.386472225189209,3.9852367771996393,2.1458572390565855
30,68,2,4.991790771484375,2.717426706762875,1.0312969791395206
31,144,1,8.744848251342773,3.656261444091797,1.6385262814785522
32,56,1,5.155517578125,3.5268060054097856,1.150038370589128
33,188,2,11.991658210754395,4.650249828683569,2.732198070792688
34,44,2,12.982131958007812,4.626604958014055,3.0514688601537983
35,80,2,6.207424640655518,3.3205659091472626,1.3253048855746705
36,32,1,10.930350303649902,4.230760499835014,2.778675672644132
37,116,2,7.488359451293945,3.4513255234422355,1.5866388018882391
38,52,1,4.329638481140137,2.576135131028982,0.9331851082811441
39,120,2,21.220245361328125,5.115848648548126,5.155014997913553
40,208,1,9.223793983459473,3.242297676893381,1.7368852666164216
41,16,2,6.8888139724731445,4.219309031963348,1.8760612060602597
42,416,2,20.49390411376953,5.2878895826064625,3.56193810034224
43,24,1,8.323740005493164,4.349629521369934,2.7287513884883126
44,156,1,7.828633785247803,3.3878966997831297,1.5677802946521828
45,80,2,10.765700340270996,3.7489380955696108,2.4742214983498165
46,20,1,12.035676956176758,7.631557774543762,3.9141068617873755
47,72,1,7.05113410949707,2.9654387831687927,1.4839838041121987
48,68,1,7.99318790435791,3.7958021935294655,1.990131936713033
49,68,3,7.765790939331055,3.7354577008415673,1.775321094001456
50,16,1,8.026968002319336,5.042216062545776,2.4643297661833885
51,76,1,31.50294303894043,10.348098823898717,8.780884134395755
52,104,1,26.92072868347168,6.447188138961792,6.673661750037786
53,56,1,14.921935081481934,5.14277720451355,3.5359695233242
54,144,2,11.032806396484375,3.6259982917043896,2.0387837028054023
55,152,1,34.50699996948242,5.246849678064647,6.022489349897476
56,52,1,17.61138343811035,5.438206498439495,4.566534977932286
57,28,1,16.244731903076172,5.314702493803842,4.608786590405456
58,256,1,8.032003402709961,3.0981222819536924,1.552195417951093
59,32,1,10.017195701599121,4.973795220255852,2.848312731150557
60,332,2,8.423527717590332,3.262596067175808,1.4192009128493028
61,16,1,4.509724140167236,3.4230698347091675,0.6699931238793814
62,112,3,11.32751178741455,4.090736661638532,2.609875355261866
63,216,3,37.50425338745117,8.718816214137608,7.431923358816034
64,16,1,3.358755588531494,2.6221157014369965,0.7762664935563662
65,108,1,12.512391090393066,4.572316721633628,2.9352882670362033
66,80,1,12.210289001464844,5.031146246194839,3.010412885374695
67,20,1,8.864266395568848,4.744617557525634,2.5412414440170576
68,28,1,4.581124305725098,3.1407974447522844,1.3889017804121329
69,28,1,15.918559074401855,5.181907398360116,4.50777306429842
70,20,1,5.925640106201172,3.039335823059082,1.6042366030990687
71,268,4,12.837115287780762,3.8206776433916234,2.425974496153892
72,104,1,47.1943473815918,8.125359709446247,9.816810508505935
73,112,2,5.702758312225342,3.2891780265739987,1.3727258870428352
74,32,1,5.747767925262451,2.96117340028286,1.2847960718112466
75,128,4,17.367122650146484,4.895818822085857,3.256001694058772
76,84,1,24.907224655151367,6.504616442180815,7.488979299090148
77,760,1,157.0802001953125,9.589178948653371,16.538845575618257
78,136,3,23.790205001831055,7.574954295859618,5.357629604144381
79,48,2,4.782726764678955,2.8013421098391214,1.1644072178170963
80,276,1,34.699798583984375,7.649878106255462,8.058987125564226
81,88,1,13.296181678771973,4.183379216627642,3.0033812031124807
