,non-zero,num-clusters,max,mean,std
0,1044,2,41.304054260253906,7.753408624751358,7.861330590945684
1,16,1,4.220770835876465,3.3344749808311462,0.7347382807201436
2,16,1,34.95123291015625,12.136567950248718,13.222142979364387
3,20,1,7.28161096572876,4.647685480117798,1.6186771991794555
4,56,1,14.537165641784668,6.38239290033068,4.758440830327613
5,20,1,9.35263442993164,3.823730778694153,2.825197877210248
6,20,1,6.388031005859375,3.160891795158386,1.7688999880289635
7,16,2,10.09996509552002,5.5641151666641235,2.8258318056547336
8,20,1,9.098149299621582,4.812771892547607,2.286782122288001
9,24,1,6.047159194946289,3.098465700944265,1.4526414383176576
10,20,1,7.080955505371094,3.333587980270386,2.0035680420028057
11,152,3,17.40159034729004,6.739159951084538,4.627781428707145
12,60,1,4.129028797149658,2.61399671236674,0.798366807885139
13,172,3,27.494060516357422,5.892257707063542,4.902855956062091
14,28,1,4.294395923614502,2.8157952513013567,1.035054884778324
15,28,1,10.252659797668457,4.610035266195025,3.252730836242571
16,16,1,17.760921478271484,9.835400819778442,6.077889449897312
17,120,2,6.805275917053223,3.1009560386339823,1.3155102127967466
18,28,1,11.131409645080566,6.01930478640965,3.5150142986471864
19,16,1,4.1080098152160645,2.9619812667369843,0.887359784746481
20,36,1,11.229972839355469,3.4252460532718234,2.9027206615295214
21,20,1,22.575546264648438,6.6361500978469845,7.992525216468127
22,32,1,3.749659776687622,2.3633706271648407,0.7874435177729515
23,24,1,7.325008869171143,4.116052945454915,1.9493513680588075
24,552,3,86.22164916992188,12.288848051126452,15.067435028084821
25,108,4,13.173262596130371,3.994980489766156,2.8795332925609984
26,76,1,6.051947116851807,3.613475724270469,1.4632612447916091
27,68,3,11.938776969909668,5.109649118255167,3.300242503654534
28,56,2,7.514800071716309,3.4949430397578647,1.5988663573657482
29,128,4,6.197327613830566,3.0406627282500267,1.296235817025169
30,136,3,13.541790008544922,4.757264361662023,2.8283572340526737
31,32,1,4.373064994812012,3.0677900314331055,0.8253925952048188
32,608,3,28.48280906677246,6.645153115454473,5.262052900097171
33,20,1,7.835435390472412,4.380755305290222,2.2200056641315515
34,88,1,21.680416107177734,6.15924378416755,5.009418095239026
35,16,1,11.75273323059082,6.188267350196838,3.3316022372247924
36,372,5,15.366697311401367,4.6164320104865615,2.921795032157148
37,516,3,51.152286529541016,8.953513722087061,7.380567097374306
38,52,1,11.889647483825684,3.349541893372169,2.6900855800700643
39,52,1,15.017833709716797,8.426212805968065,4.777779647221857
40,160,2,16.151458740234375,5.253782251477242,3.814009948234706
41,348,3,11.231537818908691,4.397961224632701,2.536309011967964
42,48,1,6.852622032165527,3.608811100323995,1.9484753847469762
43,32,1,13.912726402282715,5.841747969388962,4.318544256426507
44,20,1,6.750024795532227,3.6345961809158327,2.029004646703425
45,108,1,8.962796211242676,3.2659230629603067,1.695565964549861
46,16,1,17.762882232666016,7.953267276287079,6.164073464613123
47,24,1,4.771031379699707,3.040558099746704,1.302213331196856
48,28,1,11.854560852050781,3.8554742676871165,3.4448518912212482
49,36,1,6.648016452789307,3.306391610039605,1.6049080672213638
50,24,1,10.888276100158691,6.987841566403707,2.6311464183022526
51,16,1,8.320226669311523,4.556484878063202,2.4096990998597447
52,92,3,20.4166202545166,6.358241158982982,4.6430416960706475
53,100,2,7.005846977233887,3.1978715801239015,1.521083777820444
54,52,2,13.06934928894043,4.356110288546636,2.981399092747302
55,44,1,5.439614295959473,3.3826140490445225,1.2163297134944004
56,56,2,4.087183952331543,2.79757536309106,0.7069700775452145
57,108,2,6.259591102600098,2.85396146774292,1.269922933833239
58,132,3,10.433777809143066,3.911760268789349,2.7240849430139567
59,32,2,4.713568687438965,3.413704052567482,1.1606666964885823
60,132,1,9.927239418029785,4.302187189911351,2.2389027724868624
61,20,1,5.476650238037109,2.994724249839783,1.33721227372209
62,24,1,18.36858367919922,9.323694010575613,6.697598876447808
63,28,1,4.762750148773193,3.2202568224498203,1.3216722684945104
64,12,1,8.186546325683594,5.388134002685547,1.9895641114803955
65,96,1,18.894126892089844,4.409698034326236,4.002808073264177
66,52,2,7.330277919769287,3.9669778988911557,1.8248452293733324
67,80,2,9.231233596801758,3.9182531237602234,1.878644980805534
68,20,1,11.539262771606445,5.03113203048706,3.838143516449692
69,72,4,12.752002716064453,4.276469482315911,2.9262254295348957
70,80,1,15.697321891784668,5.297020834684372,4.515620898416922
71,44,3,10.709939002990723,3.9279572746970435,2.502427192132703
72,60,2,7.454087734222412,3.1150612513224285,1.5089540257243255
73,60,1,6.480470657348633,3.9982069810231526,1.7751468125401266
74,24,1,6.85447883605957,3.8987857500712075,1.5096549603638032
75,652,5,33.96516036987305,5.875047971865882,4.7083326512060975
76,48,1,22.928373336791992,6.320153335730235,6.4814524512602585
77,304,3,18.54977798461914,5.4206311796840865,3.9927509566526367
78,20,2,8.4942626953125,4.517891883850098,2.194042054600572
79,32,1,9.480040550231934,3.6667249649763107,2.4914446473341574
80,24,1,7.2282891273498535,3.8160136342048645,2.046199298531102
81,124,3,15.94477367401123,4.374963891121649,3.211406477367075
82,28,1,3.2726640701293945,2.445956655911037,0.7425880583013088
83,28,1,4.1802544593811035,2.414360659463065,0.9252356249614322
84,76,2,14.94072437286377,5.808737384645562,4.203731677703222
85,160,2,8.2715425491333,3.9566935002803802,1.8754544342471233
86,60,1,4.5144195556640625,2.7273182312647504,0.9991233536508046
87,184,3,19.185304641723633,4.984936022240182,4.234529282294154
88,20,1,7.389766693115234,4.096248650550843,2.3668967221267345
89,56,2,8.296092987060547,3.934312505381448,1.9452918947343334
90,24,1,4.199408531188965,2.917471408843994,0.987933292024673
91,28,1,9.564467430114746,3.266018577984401,2.713505689907945
92,44,2,4.480566501617432,2.6701569990678267,1.0234044983795152
93,56,1,10.287586212158203,5.3742543288639615,2.546370193599092
94,92,1,4.9784955978393555,2.9817590091539468,1.1599305950199286
95,24,1,5.706320285797119,3.1424286365509033,1.3265270661080364
96,20,1,10.986921310424805,6.139927673339844,3.093681276603797
97,80,2,5.918034553527832,3.15330747961998,1.2905417624758984
98,20,1,7.960728645324707,3.6264185905456543,2.31035613005274
99,20,1,4.068260192871094,2.638410544395447,1.1043094911604308
100,56,1,26.288768768310547,8.285241825239998,7.999527413173509
101,96,2,9.49024486541748,3.315534919500351,1.8844051173184755
102,180,1,6.860685348510742,3.0188488562901816,1.339989243337547
103,20,2,6.512679100036621,3.8688525438308714,1.6888996384055357
104,40,1,9.165498733520508,3.1362502455711363,2.2337627096588712
105,24,1,6.31085205078125,2.870774805545807,1.635589530139195
106,144,1,8.86624813079834,3.212423178884718,1.577637674524157
107,76,2,6.436807632446289,2.878640802283036,1.1109792679324952
108,24,1,6.756108283996582,4.511758307615916,1.8080644648738662
109,24,1,8.955050468444824,4.408914506435394,2.6752515826863834
110,24,1,10.57800579071045,6.009059508641561,3.2396570543370236
111,320,4,9.671399116516113,3.18516301214695,1.5766048301717868
112,32,1,9.138442039489746,4.153557106852531,2.429347486987002
113,20,1,6.834095001220703,4.265449905395508,2.401267862387373
114,20,1,11.087068557739258,4.985844826698303,3.437524388270793
115,36,1,15.40022087097168,6.162881215413411,4.626244606699835
116,12,1,8.510932922363281,6.68911616007487,1.6898517574965597
117,64,1,12.561527252197266,5.97958305478096,3.7944236248458547
118,40,1,12.187203407287598,6.740785431861878,3.4388481916416214
119,24,1,5.559849262237549,3.6941062609354653,1.1730180979124165
120,16,1,5.349714756011963,4.3025065660476685,1.2634264282113925
121,40,2,9.626164436340332,4.061081969738007,2.6439327193177795
122,16,1,7.551381587982178,5.492358207702637,1.2199558024823056
123,168,1,11.093064308166504,4.397029896577199,2.3563417565808025
124,28,1,15.746634483337402,7.104359405381339,4.048141707929069
