,non-zero,num-clusters,max,mean,std,compactness,E,Xmax
0,57,2,57,17.82456140350877,13.49739780900936,0.0,87.51406860351562,324.7441711425781
1,49,2,52,16.244897959183675,10.387454388013314,0.004536551326686947,15.032153129577637,236.15383911132812
2,4,1,14,10.75,2.5860201081971503,0.0,23.217002868652344,216.6896514892578
3,3,1,18,15.333333333333334,2.0548046676563256,0.0,16.62448501586914,202.70269775390625
4,3,1,10,10.0,0.0,0.0,24.857946395874023,315.11785888671875
5,4,1,19,16.25,2.384848003542364,0.0,8.194028854370117,244.53968811035156
6,10,2,48,19.4,13.2,0.0,28.411457061767578,276.4556884765625
7,3,1,28,17.333333333333332,7.542472332656507,0.0,14.991989135742188,267.54840087890625
8,21,1,66,19.904761904761905,15.94306764382851,0.0,14.410521507263184,277.01300048828125
9,12,2,27,13.166666666666666,5.35153145266744,0.0,195.7752227783203,383.478271484375
10,4,1,26,14.25,7.660776723022281,0.0,7.0170369148254395,227.56097412109375
11,54,1,118,22.51851851851852,21.393786516391067,0.0015585729651222916,102.33678436279297,305.8247375488281
12,5,1,23,15.4,6.374950980203691,0.0,31.479074478149414,273.0555419921875
13,6,1,34,18.166666666666668,10.462897410479671,0.0,23.9912052154541,250.0
14,20,1,24,11.65,5.17952700543206,0.0,15.274369239807129,257.2727355957031
15,30,1,42,16.466666666666665,10.0124367108556,0.0,45.53643035888672,276.09136962890625
16,3,1,15,11.666666666666666,2.357022603955158,0.0,13.229548454284668,223.8129425048828
17,13,1,22,13.0,5.24771012332632,0.0,14.316681861877441,239.8492431640625
18,3,1,12,11.666666666666666,0.4714045207910317,0.0,115.27935791015625,308.27362060546875
19,9,1,26,15.333333333333334,7.272474743090476,0.0,29.99834442138672,263.0653381347656
20,8,1,21,15.125,3.4437443284889775,0.0,19.206127166748047,259.23077392578125
21,12,1,34,18.833333333333332,10.769039986100072,0.0016643566632465155,14.498403549194336,233.54066467285156
22,7,2,32,17.571428571428573,8.666143364630344,0.0,9.64091968536377,248.34483337402344
23,3,1,16,13.0,2.449489742783178,0.0,7.972434997558594,235.1351318359375
24,3,1,19,14.0,3.7416573867739413,0.0,11.345975875854492,313.1325378417969
25,8,1,18,12.5,4.358898943540674,0.0,44.871124267578125,303.7572326660156
26,10,1,23,13.9,5.699999999999999,0.0,77.25588989257812,270.0
27,7,1,18,10.857142857142858,4.5175395145262565,0.0,88.19173431396484,280.4463195800781
28,3,1,13,12.0,0.816496580927726,0.0,9.326656341552734,229.88763427734375
29,4,1,25,15.5,7.399324293474371,0.0,31.55116844177246,232.35897827148438
30,43,5,58,18.325581395348838,11.046878818866604,0.005747455175747778,19.089479446411133,259.79022216796875
31,27,1,40,19.0,11.072153927424988,0.0,54.300941467285156,294.6153869628906
32,7,1,17,12.142857142857142,4.2233558568841385,0.0,11.96959114074707,311.98345947265625
33,5,1,23,13.2,6.20966987850401,0.0,10.624204635620117,232.85714721679688
34,56,1,308,43.535714285714285,55.555623441001615,0.005431014551090085,62.41963577270508,330.709228515625
35,4,1,28,15.25,8.042853971072706,0.0,15.03113079071045,271.7894592285156
36,4,1,19,12.75,4.815340071064556,0.0,79.19676208496094,380.7382507324219
37,7,1,14,9.857142857142858,2.2314999074019015,0.0,24.57779312133789,240.44775390625
38,4,1,12,10.75,1.0897247358851685,0.0,84.720458984375,332.2388000488281
39,14,1,29,14.285714285714286,6.734013571081528,0.0,13.538386344909668,236.91860961914062
40,3,1,23,18.666666666666668,5.436502143433364,0.0,9.335143089294434,191.98019409179688
41,7,2,23,13.714285714285714,4.651091598885631,0.0,6.683114528656006,225.44000244140625
42,6,1,16,11.5,2.362907813126304,0.0,13.564098358154297,378.0
43,13,1,27,12.846153846153847,5.894536634051697,0.0,11.610438346862793,337.5
44,24,1,38,15.166666666666666,8.97991586201613,0.0,34.62874984741211,308.4300231933594
45,7,1,19,10.0,4.840306956027833,0.0,15.146267890930176,246.3265380859375
46,5,1,35,19.2,8.37615663654877,0.0,22.494007110595703,346.77777099609375
47,24,2,41,16.083333333333332,9.81884525910365,0.0020887510350509927,19.117647171020508,246.27117919921875
48,7,1,18,11.714285714285714,3.880879344916036,0.0,12.664960861206055,190.76922607421875
49,14,1,25,13.5,7.316810390170999,0.0,17.142377853393555,184.9775848388672
50,10,1,28,15.1,7.091544260596559,0.0,24.22865104675293,293.25048828125
51,11,2,20,11.545454545454545,4.33513418820595,0.0,168.12979125976562,356.57342529296875
52,22,1,33,16.136363636363637,8.66705074376753,0.0,41.11610412597656,266.9649658203125
53,4,1,30,17.5,7.365459931328117,0.0,6.38050651550293,239.8734130859375
54,8,2,23,12.625,4.270172713134681,0.0,14.741961479187012,243.91941833496094
55,4,1,11,9.0,2.345207879911715,0.0,14.639477729797363,340.67669677734375
56,12,1,31,17.166666666666668,8.434387285919996,0.0,10.94717788696289,331.7204284667969
57,36,2,190,42.388888888888886,42.843564133418226,0.0,47.5550422668457,247.7188262939453
58,6,1,26,13.833333333333334,6.767980168082318,0.0,5.131885051727295,274.0
59,7,1,23,13.0,6.697547525560595,0.0,8.232121467590332,228.2608642578125
60,5,1,18,12.4,4.498888751680798,0.0,17.91847801208496,266.977783203125
61,5,1,33,22.4,7.031358332498779,0.0,8.499238014221191,200.18182373046875
62,23,1,44,13.652173913043478,8.488399734738627,0.0,10.319635391235352,281.0833435058594
63,59,1,174,32.983050847457626,36.615497101370416,0.0,47.70072937011719,279.222412109375
64,6,1,38,21.333333333333332,8.498365855987975,0.0,3.326231002807617,180.6666717529297
65,10,1,19,13.0,5.059644256269407,0.0,162.96731567382812,323.916015625
66,6,1,23,14.833333333333334,5.899623340142619,0.0,8.770888328552246,252.2857208251953
67,13,1,25,14.692307692307692,7.58931045195113,0.0,42.14209747314453,241.08348083496094
68,4,1,24,13.0,6.708203932499369,0.0,18.111007690429688,284.72528076171875
69,20,1,22,11.5,4.466542286825459,0.0,20.5495662689209,281.20880126953125
70,3,1,17,13.0,2.8284271247461903,0.0,7.839611053466797,239.4339599609375
71,10,2,18,10.6,3.8000000000000003,0.0,53.82687759399414,294.5493469238281
72,81,1,186,34.333333333333336,37.35019460507585,0.00630105631948183,78.64705657958984,312.6112060546875
73,46,1,41,16.869565217391305,9.333457106029604,0.0048761200294571965,83.14083099365234,336.8518371582031
74,53,1,116,20.433962264150942,19.870818116080414,0.0012988108155160567,20.820751190185547,280.52288818359375
75,11,1,21,12.545454545454545,5.598110661214783,0.0,58.652164459228516,293.4389953613281
76,5,1,18,10.6,4.223742416388575,0.0,24.377716064453125,255.66036987304688
77,70,1,208,35.714285714285715,42.705684752782986,0.0075146258752468685,47.86324691772461,290.6369323730469
78,6,1,21,13.833333333333334,4.8790937227681495,0.0,9.061725616455078,250.0
79,10,1,22,10.9,4.504442251822083,0.0,24.859277725219727,238.08511352539062
80,17,1,32,14.352941176470589,7.715082070171449,0.0,28.631521224975586,268.2481689453125
81,26,1,33,13.73076923076923,6.762781018234416,0.0,29.40690803527832,279.21502685546875
82,12,1,22,12.333333333333334,5.734883511361751,0.0,37.52924728393555,265.4166564941406
83,40,1,42,16.675,8.62666650566718,0.0035986300871519326,159.89779663085938,348.04364013671875
84,18,1,41,14.666666666666666,9.345230512584125,0.0,15.561277389526367,226.40553283691406
85,16,1,21,13.125,4.9355217555999085,0.0,14.76335334777832,240.27777099609375
86,15,1,47,16.933333333333334,11.33411761992182,0.0,35.24818420410156,253.88119506835938
87,10,1,33,19.5,9.091204540653566,0.0,20.119192123413086,286.7539367675781
88,10,1,15,9.3,3.1320919526731648,0.0,41.89799499511719,209.766357421875
89,21,1,29,13.619047619047619,5.851139005732055,0.0,27.116525650024414,275.54718017578125
90,13,1,21,12.384615384615385,4.796448390190737,0.0,129.54830932617188,298.1263122558594
91,8,1,13,9.375,2.4462982238476156,0.0,39.7348747253418,286.8770751953125
92,22,1,37,14.363636363636363,7.486627196332104,0.0,29.189605712890625,266.1224365234375
93,16,1,27,13.875,5.732309743899051,0.0,23.326038360595703,295.7861633300781
94,7,2,29,13.571428571428571,6.7370434986009125,0.0,59.79377365112305,273.73626708984375
95,3,1,20,16.0,2.943920288775949,0.0,9.599764823913574,313.37078857421875
96,40,1,48,16.075,9.99596793712345,0.0,30.735877990722656,290.6666564941406
97,10,2,27,14.7,6.2777384462878025,0.0,9.306882858276367,249.1666717529297
98,3,1,18,14.333333333333334,2.6246692913372702,0.0,5.062877655029297,236.61016845703125
99,5,1,14,11.0,3.794733192202055,0.0,43.630191802978516,256.8879699707031
100,6,1,37,16.166666666666668,9.753916592266355,0.0,5.526676654815674,287.77777099609375
101,10,1,20,12.7,4.001249804748512,0.0,85.5485610961914,281.18182373046875
102,46,1,78,21.82608695652174,16.44794733833412,0.0,111.36418151855469,298.6551208496094
103,15,2,33,15.6,8.16333265278342,0.0,86.57394409179688,275.7631530761719
104,12,1,19,11.5,3.662876829305985,0.00018608073189119672,8.97312068939209,262.0766906738281
105,11,1,21,10.909090909090908,5.071391156720491,0.0,33.551937103271484,284.4444580078125
106,7,1,26,14.428571428571429,6.366365701473484,0.0,14.41282844543457,292.42718505859375
107,43,1,70,22.348837209302324,16.327867063213258,0.0028887497894868617,46.79927062988281,285.6603698730469
